"date";"births";"id.dom";"id.dow";"id.moy"
1968-12-27;2150;27;"ven\.";"déc"
1968-12-28;2186;28;"sam\.";"déc"
1968-12-29;2142;29;"dim\.";"déc"
1968-12-30;2278;30;"lun\.";"déc"
1968-12-31;2048;31;"mar\.";"déc"
1969-01-01;2014;1;"mer\.";"janv"
1969-01-02;2076;2;"jeu\.";"janv"
1969-01-03;2276;3;"ven\.";"janv"
1969-01-04;2178;4;"sam\.";"janv"
1969-01-05;2125;5;"dim\.";"janv"
1969-01-06;2436;6;"lun\.";"janv"
1969-01-07;2427;7;"mar\.";"janv"
1969-01-08;2178;8;"mer\.";"janv"
1969-01-09;2269;9;"jeu\.";"janv"
1969-01-10;2275;10;"ven\.";"janv"
1969-01-11;2247;11;"sam\.";"janv"
1969-01-12;2247;12;"dim\.";"janv"
1969-01-13;2387;13;"lun\.";"janv"
1969-01-14;2433;14;"mar\.";"janv"
1969-01-15;2289;15;"mer\.";"janv"
1969-01-16;2318;16;"jeu\.";"janv"
1969-01-17;2349;17;"ven\.";"janv"
1969-01-18;2343;18;"sam\.";"janv"
1969-01-19;2159;19;"dim\.";"janv"
1969-01-20;2246;20;"lun\.";"janv"
1969-01-21;2292;21;"mar\.";"janv"
1969-01-22;2292;22;"mer\.";"janv"
1969-01-23;2228;23;"jeu\.";"janv"
1969-01-24;2336;24;"ven\.";"janv"
1969-01-25;2358;25;"sam\.";"janv"
1969-01-26;2075;26;"dim\.";"janv"
1969-01-27;2320;27;"lun\.";"janv"
1969-01-28;2324;28;"mar\.";"janv"
1969-01-29;2343;29;"mer\.";"janv"
1969-01-30;2245;30;"jeu\.";"janv"
1969-01-31;2233;31;"ven\.";"janv"
1969-02-01;2263;1;"sam\.";"févr"
1969-02-02;2045;2;"dim\.";"févr"
1969-02-03;2289;3;"lun\.";"févr"
1969-02-04;2322;4;"mar\.";"févr"
1969-02-05;2287;5;"mer\.";"févr"
1969-02-06;2212;6;"jeu\.";"févr"
1969-02-07;2380;7;"ven\.";"févr"
1969-02-08;2305;8;"sam\.";"févr"
1969-02-09;2180;9;"dim\.";"févr"
1969-02-10;2405;10;"lun\.";"févr"
